Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
42,1,TRUE,FALSE,TRUE,Amirieh,1760000000,58666.67
74,2,TRUE,TRUE,TRUE,Parand,1700000000,56666.67
88,3,FALSE,FALSE,TRUE,Punak,560000000,18666.67
63,1,TRUE,TRUE,TRUE,Sattarkhan,2150000000,71666.67
114,3,TRUE,TRUE,TRUE,Saadat Abad,5500000000,183333.33
151,3,TRUE,TRUE,TRUE,Shahran,10200000000,340000
42,1,TRUE,FALSE,TRUE,Baghestan,1760000000,58666.67
300,3,TRUE,TRUE,FALSE,West Ferdows Boulevard,1500000000,50000
110,2,TRUE,TRUE,TRUE,Shahrake Qods,3730000000,124333.33
100,2,FALSE,FALSE,FALSE,Shahryar,620000000,20666.67
140,1,FALSE,FALSE,FALSE,Northern Janatabad,580000000,19333.33
70,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,3050000000,101666.67
60,2,TRUE,TRUE,FALSE,North Program Organization,2000000000,66666.67
76,2,TRUE,TRUE,TRUE,Daryan No,2600000000,86666.67
148,3,TRUE,TRUE,TRUE,North Program Organization,5990000000,199666.67
75,2,TRUE,TRUE,TRUE,Pirouzi,2300000000,76666.67
40,1,TRUE,TRUE,FALSE,Southern Program Organization,1300000000,43333.33
65,2,TRUE,TRUE,TRUE,Rudhen,2270000000,75666.67
140,3,TRUE,TRUE,TRUE,West Pars,4000000000,133333.33
110,2,TRUE,TRUE,TRUE,Afsarieh,4000000000,133333.33
70,2,TRUE,FALSE,TRUE,Marzdaran,1650000000,55000
128,3,TRUE,TRUE,TRUE,Parand,6700000000,223333.33
94,2,TRUE,TRUE,TRUE,Punak,580000000,19333.33
67,1,TRUE,TRUE,TRUE,Shahrake Qods,2300000000,76666.67
75,1,TRUE,TRUE,TRUE,Dorous,650000000,21666.67
130,2,TRUE,TRUE,TRUE,Shahrake Qods,16900000000,563333.33
40,0,FALSE,FALSE,FALSE,Pardis,248000000,8266.67
97,2,TRUE,TRUE,TRUE,Shahran,510000000,17000
110,2,TRUE,TRUE,TRUE,Sadeghieh,3850000000,128333.33
150,3,TRUE,TRUE,TRUE,Chahardangeh,6000000000,200000
75,2,FALSE,FALSE,FALSE,ShahrAra,780000000,26000
137,3,TRUE,TRUE,TRUE,Parand,7200000000,240000
85,2,TRUE,TRUE,TRUE,Pakdasht,410000000,13666.67
68,2,FALSE,TRUE,FALSE,Baqershahr,430000000,14333.33
78,2,FALSE,TRUE,FALSE,Parand,800000000,26666.67
85,2,TRUE,TRUE,TRUE,Parand,545000000,18166.67
100,2,TRUE,TRUE,FALSE,Punak,1280000000,42666.67
71,2,TRUE,TRUE,TRUE,Gisha,2800000000,93333.33
140,3,TRUE,TRUE,TRUE,Parand,11200000000,373333.33
136,3,TRUE,TRUE,FALSE,Jeyhoon,750000000,25000
48,1,FALSE,FALSE,FALSE,Lavizan,850000000,28333.33
100,2,TRUE,TRUE,TRUE,Shams Abad,3300000000,110000
82,2,TRUE,FALSE,TRUE,Fatemi,3280000000,109333.33
120,3,TRUE,TRUE,TRUE,Gisha,4800000000,160000
139,3,TRUE,TRUE,TRUE,Keshavarz Boulevard,7300000000,243333.33
110,3,TRUE,TRUE,TRUE,Parand,3950000000,131666.67
78,2,FALSE,FALSE,TRUE,Baghestan,370000000,12333.33
79,2,FALSE,FALSE,FALSE,Salsabil,750000000,25000
66,2,TRUE,TRUE,TRUE,Kahrizak,1725000000,57500
78,2,TRUE,TRUE,TRUE,Shahryar,780000000,26000
85,2,TRUE,TRUE,TRUE,Qarchak,1419000000,47300
100,2,TRUE,TRUE,FALSE,Northren Jamalzadeh,1200000000,40000
80,2,TRUE,TRUE,TRUE,Salsabil,3600000000,120000
44,1,TRUE,TRUE,FALSE,Shahryar,1050000000,35000
120,2,TRUE,TRUE,FALSE,Shahrake Qods,1200000000,40000
50,1,FALSE,TRUE,FALSE,Ostad Moein,340000000,11333.33
121,3,TRUE,TRUE,FALSE,Azarbaijan,3300000000,110000
80,2,TRUE,TRUE,TRUE,Bahar,2800000000,93333.33
70,2,FALSE,TRUE,TRUE,Qarchak,1200000000,40000
160,1,FALSE,FALSE,FALSE,Pakdasht,3600000,120
40,0,FALSE,FALSE,FALSE,Railway,165000000,5500
88,2,TRUE,TRUE,TRUE,Persian Gulf Martyrs Lake,2860000000,95333.33
141,3,TRUE,TRUE,TRUE,Persian Gulf Martyrs Lake,3810000000,127000
140,3,TRUE,TRUE,TRUE,Persian Gulf Martyrs Lake,1790000000,59666.67
120,2,TRUE,TRUE,TRUE,Beryanak,1530000000,51000
66,2,FALSE,TRUE,FALSE,Punak,1000000000,33333.33
70,2,TRUE,TRUE,TRUE,Heshmatieh,3500000000,116666.67
75,2,TRUE,FALSE,TRUE,Elm-o-Sanat,3000000000,100000
70,2,FALSE,TRUE,TRUE,Saadat Abad,1800000000,60000
150,3,TRUE,TRUE,TRUE,Golestan,20000000000,666666.67
95,2,TRUE,TRUE,TRUE,Southern Janatabad,950000000,31666.67
127,2,TRUE,TRUE,TRUE,Shahr-e-Ziba,6000000000,200000
123,3,TRUE,TRUE,TRUE,Southern Janatabad,3700000000,123333.33
